Id,fid,ContPop,pob
HGDP00814,1516,EastAsia,
HGDP00784,1517,EastAsia,
HGDP00975,1518,EastAsia,
HGDP01295,1519,EastAsia,
HGDP01104,1520,EastAsia,
HGDP01189,1521,EastAsia,
HGDP01204,1522,EastAsia,
HGDP01216,1523,EastAsia,
HGDP01228,1524,EastAsia,
HGDP01240,1525,EastAsia,
HGDP01308,1526,EastAsia,
HGDP00057,1527,CentralSouthAsia,
HGDP00127,1528,CentralSouthAsia,
HGDP00139,1529,CentralSouthAsia,
HGDP00154,1530,CentralSouthAsia,
HGDP00175,1531,CentralSouthAsia,
HGDP00199,1532,CentralSouthAsia,
HGDP00222,1533,CentralSouthAsia,
HGDP00279,1534,CentralSouthAsia,
HGDP00309,1535,CentralSouthAsia,
HGDP00382,1536,CentralSouthAsia,
HGDP00444,1537,CentralSouthAsia,
HGDP00818,1538,EastAsia,
HGDP00786,1539,EastAsia,
HGDP00977,1540,EastAsia,
HGDP01095,1541,EastAsia,
HGDP00080,1542,CentralSouthAsia,
HGDP01180,1543,EastAsia,
HGDP01191,1544,EastAsia,
HGDP01206,1545,EastAsia,
HGDP01218,1546,EastAsia,
HGDP01230,1547,EastAsia,
HGDP01242,1548,EastAsia,
HGDP01298,1549,CentralSouthAsia,
HGDP01310,1550,EastAsia,
HGDP00128,1551,CentralSouthAsia,
HGDP00140,1552,CentralSouthAsia,
HGDP00155,1553,CentralSouthAsia,
HGDP00177,1554,CentralSouthAsia,
HGDP00201,1555,CentralSouthAsia,
HGDP00224,1556,CentralSouthAsia,
HGDP00281,1557,CentralSouthAsia,
HGDP00141,1558,CentralSouthAsia,
HGDP00157,1559,CentralSouthAsia,
HGDP00179,1560,CentralSouthAsia,
HGDP00226,1561,CentralSouthAsia,
HGDP00251,1562,CentralSouthAsia,
HGDP01193,1563,EastAsia,
HGDP01208,1564,EastAsia,
HGDP01181,1565,EastAsia,
HGDP01192,1566,EastAsia,
HGDP01207,1567,EastAsia,
HGDP01231,1568,EastAsia,
HGDP01243,1569,EastAsia,
HGDP01299,1570,CentralSouthAsia,
HGDP01311,1571,EastAsia,
HGDP00311,1572,CentralSouthAsia,
HGDP00336,1573,CentralSouthAsia,
HGDP00388,1574,CentralSouthAsia,
HGDP00445,1575,CentralSouthAsia,
HGDP00974,1576,EastAsia,
HGDP00811,1577,EastAsia,
HGDP01096,1578,EastAsia,
HGDP01103,1579,EastAsia,
HGDP01188,1580,EastAsia,
HGDP01203,1581,EastAsia,
HGDP01215,1582,EastAsia,
HGDP01227,1583,EastAsia,
HGDP01239,1584,EastAsia,
HGDP01251,1585,EastAsia,
HGDP01307,1586,EastAsia,
HGDP01179,1587,EastAsia,
HGDP01190,1588,EastAsia,
HGDP01205,1589,EastAsia,
HGDP01217,1590,EastAsia,
HGDP01229,1591,EastAsia,
HGDP01241,1592,EastAsia,
HGDP01297,1593,CentralSouthAsia,
HGDP01309,1594,EastAsia,
HGDP01312,1595,EastAsia,
HGDP01323,1596,EastAsia,
HGDP01335,1597,EastAsia,
HGDP01347,1598,EastAsia,
HGDP00946,1599,EastAsia,
HGDP00958,1600,EastAsia,
HGDP00747,1601,EastAsia,
HGDP00759,1602,EastAsia,
HGDP00769,1603,EastAsia,
HGDP00712,1604,EastAsia,
